quarter,month,week,track,artist,label,hot100_rank,hot100_last_week,hot100_peak,hot100_woc,hot100_change,hot100_growth_rate,hot100_acceleration,radio_rank,radio_last_week,radio_peak,radio_woc,radio_change,radio_growth_rate,radio_acceleration,streaming_rank,streaming_last_week,streaming_peak,streaming_woc,streaming_change,streaming_growth_rate,streaming_acceleration,sales_rank,sales_last_week,sales_peak,sales_woc,sales_change,sales_growth_rate,sales_acceleration,apple_rank,apple_last_week,apple_peak,apple_woc,apple_change,apple_growth_rate,apple_acceleration,spotify_rank,spotify_last_week,spotify_peak,spotify_woc,spotify_change,spotify_growth_rate,spotify_acceleration,spotify_streams,is_collab,is_top_artist,is_top_label,is_holiday_season,is_summer_season,is_award_season,available_platforms,best_platform,platform_change_momentum,platform_acceleration_momentum,platform_divergence,spotify_vs_apple,streaming_vs_radio,streaming_vs_sales,radio_vs_sales,spotify_leads_apple,streaming_leads_radio,streaming_leads_sales,radio_leads_sales
1,1,1,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,Warner Records,31,28,1,18,-0.03,-0.11,0.0,0,0,0,0,0.0,0.0,0.0,28,24,1,18,-0.08,-0.17,0.0,9,14,4,18,0.2,0.36,0.0,14,18,1,18,0.04,0.22,0.0,27,20,1,18,-0.04,-0.35,0.0,6980971,1,0,1,1,0,0,5,sales,1.9,0.0,0.2,0.01,0.0,-0.2,0.0,-0.01,0.0,-0.0,0.0
1,1,1,Water,Tyla,FAX Records/Epic,32,26,10,13,-0.06,-0.23,0.0,4,4,4,10,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,25,21,14,9,-0.16,-0.19,0.0,0,0,0,0,0.0,0.0,0.0,102,79,23,13,-0.12,-0.29,0.0,3375716,0,0,0,1,0,0,4,radio,-11.17,0.0,0.39,0.0,0.0,0.0,0.92,0.84,0.55,-1.0,0.0
1,1,1,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,WaterTower Music,33,34,31,12,0.01,0.03,0.0,0,0,0,0,0.0,0.0,0.0,29,28,25,16,-0.02,-0.04,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,120,189,91,13,0.34,0.37,0.0,3099833,0,0,0,1,0,0,3,streaming,11.17,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,This Christmas,Donny Hathaway,Rhino Atlantic,34,45,34,5,0.11,0.24,0.0,0,0,0,0,0.0,0.0,0.0,35,35,27,9,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,70,0,57,5,0.31,0.0,0.0,39,60,39,20,0.1,0.35,0.0,5545650,0,0,0,1,0,0,4,hot100,17.5,0.0,0.32,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Agora Hills,Doja Cat,Kemosabe Records/RCA Records,35,29,14,14,-0.06,-0.21,0.0,9,10,9,7,0.02,0.1,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,27,27,13,13,0.0,0.0,0.0,40,25,6,14,-0.08,-0.6,0.0,5532111,0,1,0,1,0,0,4,radio,-3.83,0.0,0.14,0.07,0.0,0.0,0.0,0.79,0.0,0.0,0.0
1,1,1,Last Night,Morgan Wallen,Big Loud Records / Mercury Records / Republic Records,36,33,1,48,-0.03,-0.09,0.0,20,22,2,42,0.04,0.09,0.0,46,38,1,48,-0.16,-0.21,0.0,0,0,0,0,0.0,0.0,0.0,17,23,1,47,0.06,0.26,0.0,60,46,1,48,-0.07,-0.3,0.0,4588905,0,0,0,1,0,0,5,apple,-3.2,0.0,0.31,-0.13,-0.52,0.0,0.0,0.03,-0.02,0.0,0.0
1,1,1,Mistletoe,Justin Bieber,RBMG/Def Jam,37,0,11,13,0.64,0.0,0.0,0,0,0,0,0.0,0.0,0.0,30,0,29,7,0.42,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,34,34,15,43,0.0,0.0,0.0,6242467,0,0,0,1,0,0,3,streaming,53.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Happy Holiday / The Holiday Season,Andy Williams,Columbia/Legacy,38,44,18,19,0.06,0.14,0.0,0,0,0,0,0.0,0.0,0.0,32,34,14,23,0.04,0.06,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,58,72,54,15,0.07,0.19,0.0,4677940,1,1,1,1,0,0,3,streaming,5.67,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Christmastime Is Here,Vince Guaraldi Trio,Fantasy Records,39,0,39,4,0.62,0.0,0.0,0,0,0,0,0.0,0.0,0.0,33,39,26,9,0.12,0.15,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,32,48,32,28,0.08,0.33,0.0,6465821,0,0,0,1,0,0,3,spotify,27.33,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Like It's Christmas,Jonas Brothers,Jonas Brothers,40,43,40,7,0.03,0.07,0.0,0,0,0,0,0.0,0.0,0.0,34,30,30,9,-0.08,-0.13,0.0,0,0,0,0,0.0,0.0,0.0,41,83,26,7,0.42,0.51,0.0,82,87,65,16,0.02,0.06,0.0,3935895,0,0,0,1,0,0,4,streaming,9.88,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Have Yourself A Merry Little Christmas,Michael Buble,Reprise,41,0,41,4,0.6,0.0,0.0,0,0,0,0,0.0,0.0,0.0,31,42,27,16,0.22,0.26,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,2,streaming,41.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
