rank,artist,track,label,sp_peak,sp_last_week,sp_woc,streams,date
2,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2,4,12,13470717,8/8/2024
3,Jimin,Who,BIGHIT MUSIC,3,3,3,13197537,8/8/2024
4,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,1,14,12649994,8/8/2024
5,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records/Republic Records,1,5,13,12287463,8/8/2024
6,Sabrina Carpenter,Please Please Please,Island Records,1,7,9,11712555,8/8/2024
7,"Charli xcx, Billie Eilish",Guess featuring billie eilish,Atlantic Records,7,-1,1,11554365,8/8/2024
8,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,3,6,17,11277481,8/8/2024
9,Sabrina Carpenter,Espresso,Island Records,1,8,17,10430486,8/8/2024
10,Chappell Roan,HOT TO GO!,Chappell Roan PS/ Island,10,11,17,10152007,8/8/2024
11,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,2,9,15,9449191,8/8/2024
12,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,12,20,9,7627390,8/8/2024
13,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,1,13,20,7101951,8/8/2024
14,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,15,29,7052311,8/8/2024
15,Chappell Roan,Red Wine Supernova,Chappell Roan PS/ Island,15,22,18,6917223,8/8/2024
16,Charli xcx,Apple,Atlantic Records,16,33,4,6751418,8/8/2024
17,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,1,16,50,6707195,8/8/2024
18,Zach Bryan,Pink Skies,Warner Records,8,18,11,6699185,8/8/2024
19,Morgan Wallen,Lies Lies Lies,Big Loud Records / Mercury Records / Republic Records,9,10,5,6582337,8/8/2024
20,"Hanumankind, Kalmi",Big Dawgs,Universal Music India Pvt Ltd.,20,54,2,6457371,8/8/2024
21,Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),Atlantic Records,17,17,12,6391222,8/8/2024
22,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,19,93,6252743,8/8/2024
23,Zach Bryan,28,Warner Records,10,14,5,6221043,8/8/2024
24,Teddy Swims,Lose Control,Warner Records,10,24,39,6065667,8/8/2024
25,"Morgan Wallen, ERNEST",Cowgirls (feat. ERNEST),Big Loud Records / Mercury Records / Republic Records,19,23,68,5900132,8/8/2024
26,Charli xcx,360,Atlantic Records,21,21,10,5868362,8/8/2024
27,"Post Malone, Luke Combs",Guy For That (Feat. Luke Combs),Mercury Records/Republic Records,12,12,2,5778174,8/8/2024
28,Zach Bryan,Something in the Orange,Warner Records,4,25,120,5731525,8/8/2024
29,Billie Eilish,LUNCH,Darkroom/Interscope Records,4,29,12,5445102,8/8/2024
30,"¥$, Kanye West, Ty Dolla $ign",FIELD TRIP,YZY,30,-1,1,5437048,8/8/2024
31,*NSYNC,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,Jive,31,56,2,5344876,8/8/2024
32,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,28,80,5277326,8/8/2024
33,Dasha,Austin (Boots Stop Workin'),Warner Records,20,26,22,5233290,8/8/2024
34,"Future, Metro Boomin, Kendrick Lamar",Like That,Wilburn Holding Co./Boominati/Epic/Republic,1,27,20,5221698,8/8/2024
35,The Kid LAROI,NIGHTS LIKE THIS,Columbia,24,32,7,5218071,8/8/2024
36,Zach Bryan,Heading South,Warner Records,30,30,91,5157395,8/8/2024
37,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",22,34,20,5073561,8/8/2024
38,Chappell Roan,Casual,Chappell Roan PS/ Island,38,45,10,5027738,8/8/2024
39,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,5,31,162,4939667,8/8/2024
40,Myles Smith,Stargazing,RCA Records Label,24,37,13,4866530,8/8/2024
41,"Megan Thee Stallion, Yuki Chiba",Mamushi (feat. Yuki Chiba),Hot Girl Productions,29,41,6,4621623,8/8/2024
42,Chappell Roan,Femininomenon,Chappell Roan PS/ Island,42,63,9,4618337,8/8/2024
43,Zach Bryan,Sun to Me,Warner Records,38,38,65,4583870,8/8/2024
44,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,11,60,12,4574780,8/8/2024
45,Michael Marcagi,Scared To Start,Warner Records,16,43,29,4561782,8/8/2024
46,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,46,48,7,4533077,8/8/2024
47,Richy Mitch & The Coal Miners,Evergreen,Richy Mitch & The Coal Miners,40,47,46,4467656,8/8/2024
48,Morgan Wallen,Thinkin’ Bout Me,Big Loud Records / Mercury Records / Republic Records,9,39,75,4457478,8/8/2024
49,Eminem,Houdini,Shady/Aftermath/Interscope Records,5,35,10,4313529,8/8/2024
50,Taylor Swift,Cruel Summer,Taylor Swift,2,49,91,4215506,8/8/2024
51,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,1,44,16,4213552,8/8/2024
52,Djo,End of Beginning,Djo,3,51,25,4190053,8/8/2024
53,Gunna,one of wun,300 Entertainment,23,110,13,4187512,8/8/2024
54,Jordan Adetunji,KEHLANI,300 Entertainment,54,73,7,4172550,8/8/2024
55,The Neighbourhood,Sweater Weather,Columbia,13,55,207,4159700,8/8/2024
56,Tommy Richman,DEVIL IS A LIE,PULSE Records,14,40,8,4148057,8/8/2024
57,Morgan Wallen,You Proof,Big Loud Records / Mercury Records / Republic Records,8,52,117,4119404,8/8/2024
58,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,3,50,16,4091818,8/8/2024
59,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,13,46,22,4072115,8/8/2024
60,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",60,104,4,4064888,8/8/2024
61,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,7,57,12,3986452,8/8/2024
62,Luke Combs,When It Rains It Pours,River House Artists/Columbia Nashville,60,62,119,3974336,8/8/2024
63,Ariana Grande,we can't be friends (wait for your love),Republic Records,2,58,22,3889437,8/8/2024
64,"Ice Spice, Central Cee",Did It First (with Central Cee),10K Projects/Capitol Records,36,36,4,3875501,8/8/2024
65,SZA,Saturn,Top Dawg Entertainment/RCA Records,5,59,24,3827867,8/8/2024
66,Gunna,fukumean,300 Entertainment,1,84,56,3798014,8/8/2024
67,Frank Ocean,Pink + White,Boys Don't Cry,30,65,104,3731183,8/8/2024
68,Luke Combs,She Got the Best of Me,River House Artists/Columbia Nashville,65,66,36,3714150,8/8/2024
69,Chappell Roan,My Kink Is Karma,Chappell Roan PS/ Island,69,106,9,3712477,8/8/2024
70,"Ella Langley, Riley Green",you look like you love me (feat. Riley Green),SAWGOD/Columbia,28,78,7,3637436,8/8/2024
71,Tucker Wetmore,Wind Up Missin’ You,Tucker Wetmore,48,61,19,3636469,8/8/2024
72,Zach Bryan,Oklahoma Smokeshow,Warner Records,70,72,56,3629344,8/8/2024
73,"mgk, Jelly Roll",Lonely Road (with Jelly Roll),"EST 19XX, LLC, under exclusive license to Interscope Records",69,69,2,3628180,8/8/2024
74,Daryl Hall & John Oates,Rich Girl,RCA Records Label,57,70,24,3590265,8/8/2024
75,GloRilla,Yeah Glo!,CMG/Interscope Records,38,64,22,3566654,8/8/2024
76,Clairo,Juna,Clairo,76,114,2,3537242,8/8/2024
77,Hotel Ugly,Shut up My Moms Calling,"Hotel Ugly, under exclusive license to Amuseio AB",29,87,101,3506797,8/8/2024
78,The Killers,Mr. Brightside,Island Records,50,101,206,3459084,8/8/2024
79,Taylor Swift,august,Taylor Swift,6,169,62,3453503,8/8/2024
80,Morgan Wallen,Wasted On You,Big Loud / Republic,3,74,185,3452106,8/8/2024
81,"Diplo, Morgan Wallen",Heartless (feat. Morgan Wallen),Columbia,57,80,96,3447034,8/8/2024
82,Dominic Fike,misses,Columbia,52,53,9,3438031,8/8/2024
83,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,102,87,3433306,8/8/2024
84,Van Morrison,Brown Eyed Girl,Columbia/Legacy,68,88,26,3409024,8/8/2024
85,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,2,79,54,3363571,8/8/2024
86,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,6,75,186,3359042,8/8/2024
87,"Future, Metro Boomin, Travis Scott, Playboi Carti",Type Shit,Wilburn Holding Co./Boominati/Epic/Republic,3,77,20,3354417,8/8/2024
88,Mitski,My Love Mine All Mine,Dead Oceans,3,92,47,3350799,8/8/2024
89,Artemas,i like the way you kiss me,Artemas,3,85,20,3321652,8/8/2024
90,Sabrina Carpenter,Feather,Island Records,20,71,37,3319643,8/8/2024
91,Zach Bryan,"Burn, Burn, Burn",Warner Records,68,91,52,3296230,8/8/2024
92,Miguel,Sure Thing,Jive,10,103,90,3293898,8/8/2024
93,Mark Ambor,Belong Together,"Hundred Days Records, LLC",52,90,18,3290770,8/8/2024
94,Hozier,Take Me To Church,Universal-Island Records Ltd.,94,100,37,3290101,8/8/2024
95,BigXthaPlug,Mmhmm,BigXthaPlug under exclusive license to UnitedMasters LLC,38,94,34,3284718,8/8/2024
96,Luke Combs,Beautiful Crazy,River House Artists/Columbia Nashville,61,89,197,3277034,8/8/2024
97,Luke Combs,Where the Wild Things Are,River House Artists/Columbia Nashville,36,42,26,3276749,8/8/2024
98,Chris Stapleton,You Should Probably Leave,Mercury Nashville,56,95,59,3261894,8/8/2024
99,Creedence Clearwater Revival,Have You Ever Seen The Rain,Craft Recordings,94,134,32,3252967,8/8/2024
100,Gracie Abrams,Close To You,"Gracie Abrams, under exclusive license to Interscope Records",27,109,9,3219976,8/8/2024
101,TV Girl,Lovers Rock,TV Girl,38,105,90,3214762,8/8/2024
102,Sabrina Carpenter,Nonsense,Island Records,15,82,82,3209685,8/8/2024
103,"Koe Wetzel, Jessie Murph",High Road (feat. Jessie Murph),Columbia,22,81,9,3202602,8/8/2024
104,"Zach Bryan, The War And Treaty",Hey Driver (feat. The War and Treaty),Warner Records,3,107,50,3189561,8/8/2024
105,"¥$, Kanye West, Ty Dolla $ign",PROMOTION,YZY,105,-1,1,3176955,8/8/2024
106,"Offset, Metro Boomin",Ric Flair Drip (with Metro Boomin),"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",4,117,224,3176833,8/8/2024
107,"¥$, Kanye West, Ty Dolla $ign",SLIDE,YZY,107,-1,1,3146864,8/8/2024
108,"¥$, Kanye West, Ty Dolla $ign",FRIED,YZY,108,-1,1,3145376,8/8/2024
109,Journey,Don't Stop Believin' (2022 Remaster),Columbia/Legacy,94,99,72,3090173,8/8/2024
110,"Marshmello, Kane Brown",Miles On It,RCA Records Label Nashville,68,96,14,3076915,8/8/2024
111,"Luis R Conriquez, Neton Vega",Si No Quieres No,Kartel Music,62,116,14,3070820,8/8/2024
112,"Peso Pluma, Neton Vega",LA PATRULLA,2024 Double P Records,112,115,6,3063072,8/8/2024
113,GloRilla,TGIF,CMG/Interscope Records,83,113,6,3061784,8/8/2024
114,"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),Columbia,12,98,11,3037049,8/8/2024
115,"Lil Yachty, ian",Hate Me,Quality Control Music/Motown Records/Bu Vision/Columbia,115,118,2,3008527,8/8/2024
116,PinkPantheress,Pain,Parlophone UK,48,-1,54,3000501,8/8/2024
117,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,128,299,2995214,8/8/2024
118,Zach Bryan,Nine Ball,Warner Records,38,130,12,2991742,8/8/2024
119,Charli xcx,365,Atlantic Records,119,179,2,2969970,8/8/2024
120,"Quavo, Lana Del Rey",Tough,Quality Control Music/Motown Records,15,83,5,2955765,8/8/2024
121,Luke Combs,Beer Never Broke My Heart,River House Artists/Columbia Nashville,51,124,52,2952048,8/8/2024
122,Coldplay,Viva La Vida,Parlophone UK,122,127,12,2914136,8/8/2024
123,"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),Twisted Elegance,114,125,4,2910677,8/8/2024
124,Chris Stapleton,Tennessee Whiskey,Mercury Nashville,92,111,166,2909041,8/8/2024
125,TV Girl,Not Allowed,TV Girl,39,141,65,2899292,8/8/2024
126,Morgan Wallen,Whiskey Glasses,Big Loud,43,142,255,2895293,8/8/2024
127,Frank Ocean,Thinkin Bout You,Red Zone Entertainment / IDJ,42,144,32,2866547,8/8/2024
128,The Goo Goo Dolls,Iris,Warner Records,86,86,25,2859127,8/8/2024
129,Cage The Elephant,Cigarette Daydreams,RCA Records Label,104,152,85,2833383,8/8/2024
130,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,122,100,2831218,8/8/2024
131,"Lil Durk, Morgan Wallen",Broadway Girls (feat. Morgan Wallen),Alamo,7,129,71,2830158,8/8/2024
132,Creedence Clearwater Revival,Fortunate Son,Craft Recordings,88,156,36,2820016,8/8/2024
133,d4vd,Romantic Homicide,Darkroom/Interscope Records,3,166,103,2817214,8/8/2024
134,"Post Malone, Blake Shelton",Pour Me A Drink (Feat. Blake Shelton),Mercury Records/Post Malone,10,119,7,2808727,8/8/2024
135,"Zach Bryan, The Lumineers",Spotless (feat. The Lumineers),Warner Records,7,176,21,2798214,8/8/2024
136,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,18,131,37,2796227,8/8/2024
137,J. Cole,No Role Modelz,Roc Nation Records LLC,10,120,339,2793916,8/8/2024
138,Tate McRae,greedy,RCA Records Label,4,140,47,2781009,8/8/2024
139,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,139,159,2,2769404,8/8/2024
140,Luke Combs,The Kind of Love We Make,River House Artists/Columbia Nashville,15,164,81,2763133,8/8/2024
141,Kendrick Lamar,euphoria,"Kendrick Lamar, under exclusive license to Interscope Records",3,97,15,2756581,8/8/2024
142,Morgan Wallen,Chasin' You,Big Loud,55,-1,143,2747274,8/8/2024
143,Luke Combs,Fast Car,River House Artists/Columbia Nashville,4,76,72,2716089,8/8/2024
144,Kendrick Lamar,HUMBLE.,Aftermath,1,138,210,2712915,8/8/2024
145,Bryson Tiller,Don't,TrapSoul/RCA Records,82,132,137,2685906,8/8/2024
146,Sublime,Santeria,Gasoline Alley,146,194,8,2684711,8/8/2024
147,SZA,Snooze,Top Dawg Entertainment/RCA Records,10,68,87,2682279,8/8/2024
148,Natasha Bedingfield,Unwritten,Sony Music CG,85,154,30,2672142,8/8/2024
149,Steve Lacy,Bad Habit,L-M Records/RCA Records,1,146,83,2667774,8/8/2024
150,Old Dominion,One Man Band,RCA Records Label Nashville,71,155,42,2666568,8/8/2024
151,"Noah Kahan, Post Malone",Dial Drunk (with Post Malone),Mercury Records/Republic Records,13,123,56,2662771,8/8/2024
152,"Moneybagg Yo, Morgan Wallen",WHISKEY WHISKEY (feat. Morgan Wallen),CMG/N-Less/Interscope Records,53,151,8,2660809,8/8/2024
153,SZA,Good Days,Top Dawg Entertainment/RCA Records,1,175,157,2654393,8/8/2024
154,"GloRilla, Megan Thee Stallion",Wanna Be (with Megan Thee Stallion),CMG/Interscope Records,30,133,18,2651170,8/8/2024
155,Steve Lacy,Dark Red,Three Quarter,16,158,154,2647828,8/8/2024
156,"NAV, Bay Swag, Cash Cobain",6AM Thoughts (with Cash Cobain & Bay Swag),XO / Repuiblic Records,156,-1,1,2642609,8/8/2024
157,The Cranberries,Linger,Island Records,121,135,12,2640773,8/8/2024
158,XXXTENTACION,Revenge,Bad Vibes Forever / EMPIRE,25,160,101,2632656,8/8/2024
159,21 Savage,redrum,"Slaughter Gang, LLC/Epic Records",1,148,30,2632334,8/8/2024
160,Tyler Childers,All Your'n,Hickman Holler Records/RCA Records,76,145,59,2622962,8/8/2024
161,BigXthaPlug,Back On My BS,BigXthaPlug under exclusive license to UnitedMasters LLC,74,187,20,2618428,8/8/2024
162,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,41,153,190,2615011,8/8/2024
163,Pharrell Williams,"Double Life - From ""Despicable Me 4""",Columbia,157,157,2,2614631,8/8/2024
164,Chappell Roan,Super Graphic Ultra Modern Girl,Chappell Roan PS/ Island,164,-1,2,2611662,8/8/2024
165,"A$AP Rocky, Jessica Pratt",HIGHJACK,A$AP Worldwide,165,-1,1,2605265,8/8/2024
166,Bryson Tiller,Whatever She Wants,TrapSoul/RCA Records,7,136,25,2602927,8/8/2024
167,"¥$, Kanye West, Ty Dolla $ign",CARNIVAL,YZY,1,185,26,2591232,8/8/2024
168,AC/DC,You Shook Me All Night Long,Columbia,151,197,10,2587746,8/8/2024
169,ian,Magic Johnson,Bu Vision,112,137,7,2563990,8/8/2024
170,Josh Meloy,Porch Light,Josh Meloy Music,155,172,15,2563978,8/8/2024
171,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,62,174,93,2562525,8/8/2024
172,Laufey,From The Start,Laufey,45,186,46,2560639,8/8/2024
173,Royel Otis,Linger - SiriusXM Session,OURNESS PTY LTD,108,108,2,2552408,8/8/2024
174,Chappell Roan,Naked In Manhattan,Chappell Roan PS/ Island,174,-1,1,2549953,8/8/2024
175,Nickelback,How You Remind Me,Roadrunner Records,175,180,4,2547200,8/8/2024
176,"Peso Pluma, DJ Snake",TEKA,2024 Double P Records,176,-1,1,2544762,8/8/2024
177,"Future, Drake, Tems",WAIT FOR U (feat. Drake & Tems),Epic/Freebandz,3,-1,87,2536877,8/8/2024
178,The Walters,I Love You So,Warner Records,9,191,93,2530362,8/8/2024
179,Taylor Swift,Down Bad,Taylor Swift,2,173,16,2502497,8/8/2024
180,Noah Kahan,You’re Gonna Go Far,Mercury Records/Republic Records,64,170,5,2492724,8/8/2024
181,"XXXTENTACION, Trippie Redd",Fuck Love,Bad Vibes Forever / EMPIRE,8,-1,208,2486638,8/8/2024
182,Arctic Monkeys,505,Domino Recording Co,18,188,185,2483783,8/8/2024
183,Cris Mj,SI NO ES CONTIGO,Sonar LLC.,89,-1,9,2481791,8/8/2024
184,"Earth, Wind & Fire",September,Columbia/Legacy,70,195,20,2473057,8/8/2024
185,Chappell Roan,After Midnight,Chappell Roan PS/ Island,185,-1,1,2460396,8/8/2024
186,Kanye West,Heartless,Roc-A-Fella,37,-1,143,2459625,8/8/2024
187,Artemas,if u think i'm pretty,Artemas,50,-1,10,2454478,8/8/2024
188,The Outfield,Your Love,Columbia/Legacy,188,-1,2,2452377,8/8/2024
189,Buffalo Springfield,For What It's Worth,Rhino/Elektra,189,-1,1,2451919,8/8/2024
190,Foo Fighters,Everlong,RCA Records Label,60,200,97,2450507,8/8/2024
191,Bryan Martin,We Ride,Average Joes Entertainment,146,-1,24,2449961,8/8/2024
192,Harry Styles,As It Was,Columbia,1,93,111,2447775,8/8/2024
193,The Kid LAROI,GIRLS,Columbia,48,121,6,2446326,8/8/2024
194,Sleepy Hallow,2055,Winners Circle/RCA Records,8,-1,67,2446225,8/8/2024
195,TV Girl,Cigarettes out the Window,TV Girl,94,193,27,2440541,8/8/2024
196,HARDY,TRUCK BED,Big Loud,125,-1,27,2437523,8/8/2024
197,Eyedress,Jealous,Lex Records,137,-1,36,2432995,8/8/2024
198,Kanye West,Father Stretch My Hands Pt. 1,Rock The World/IDJ/Kanye LP7,27,-1,120,2430184,8/8/2024
199,"Tyler, The Creator",BEST INTEREST,Columbia,148,-1,14,2423713,8/8/2024
200,Bailey Zimmerman,Where It Ends,Warner Music Nashville/Elektra,38,168,17,2423423,8/8/2024
1,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,1,1,19,15085485,8/15/2024
2,Jimin,Who,BIGHIT MUSIC,2,3,4,13959891,8/15/2024
3,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2,2,13,13671451,8/15/2024
4,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records/Republic Records,1,5,14,11354105,8/15/2024
5,Sabrina Carpenter,Please Please Please,Island Records,1,6,10,11328378,8/15/2024
6,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,3,8,18,11257884,8/15/2024
7,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",1,4,15,11164580,8/15/2024
8,Sabrina Carpenter,Espresso,Island Records,1,9,18,10162827,8/15/2024
9,Chappell Roan,HOT TO GO!,Chappell Roan PS/ Island,9,10,18,10081040,8/15/2024
10,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,2,11,16,8843754,8/15/2024
11,"Charli xcx, Billie Eilish",Guess featuring billie eilish,Atlantic Records,7,7,2,8500812,8/15/2024
12,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,12,12,10,8029825,8/15/2024
13,"Hanumankind, Kalmi",Big Dawgs,Universal Music India Pvt Ltd.,13,20,3,7573723,8/15/2024
14,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,1,17,51,7438656,8/15/2024
15,Chappell Roan,Red Wine Supernova,Chappell Roan PS/ Island,15,15,19,7020845,8/15/2024
16,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,1,13,21,7002549,8/15/2024
17,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,14,30,6911710,8/15/2024
18,Zach Bryan,Pink Skies,Warner Records,8,18,12,6822605,8/15/2024
19,Morgan Wallen,Lies Lies Lies,Big Loud Records / Mercury Records / Republic Records,9,19,6,6573458,8/15/2024
20,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,22,94,6321010,8/15/2024
21,Charli xcx,Apple,Atlantic Records,16,16,5,6317268,8/15/2024
22,Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),Atlantic Records,17,21,13,6045831,8/15/2024
23,Teddy Swims,Lose Control,Warner Records,10,24,40,6033303,8/15/2024
24,Zach Bryan,Something in the Orange,Warner Records,4,28,121,5838401,8/15/2024
25,"Morgan Wallen, ERNEST",Cowgirls (feat. ERNEST),Big Loud Records / Mercury Records / Republic Records,19,25,69,5792850,8/15/2024
26,Zach Bryan,28,Warner Records,10,23,6,5732056,8/15/2024
27,"Post Malone, Luke Combs",Guy For That (Feat. Luke Combs),Mercury Records/Republic Records,12,27,3,5576301,8/15/2024
28,The Kid LAROI,NIGHTS LIKE THIS,Columbia,24,35,8,5542144,8/15/2024
29,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,32,81,5418182,8/15/2024
30,Zach Bryan,Heading South,Warner Records,30,36,92,5407180,8/15/2024
31,Dasha,Austin (Boots Stop Workin'),Warner Records,20,33,23,5387628,8/15/2024
32,Chappell Roan,Casual,Chappell Roan PS/ Island,32,38,11,5256968,8/15/2024
33,Charli xcx,360,Atlantic Records,21,26,11,5076277,8/15/2024
34,"Future, Metro Boomin, Kendrick Lamar",Like That,Wilburn Holding Co./Boominati/Epic/Republic,1,34,21,5006519,8/15/2024
35,Zach Bryan,Sun to Me,Warner Records,35,43,66,4940259,8/15/2024
36,Billie Eilish,LUNCH,Darkroom/Interscope Records,4,29,13,4894655,8/15/2024
37,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",22,37,21,4835502,8/15/2024
38,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,5,39,163,4741843,8/15/2024
39,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,11,44,13,4738474,8/15/2024
40,Richy Mitch & The Coal Miners,Evergreen,Richy Mitch & The Coal Miners,40,47,47,4696929,8/15/2024
41,Chappell Roan,Femininomenon,Chappell Roan PS/ Island,41,42,10,4616929,8/15/2024
42,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",42,60,5,4615973,8/15/2024
43,Michael Marcagi,Scared To Start,Warner Records,16,45,30,4590524,8/15/2024
44,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,44,46,8,4572650,8/15/2024
45,*NSYNC,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,Jive,31,31,3,4545735,8/15/2024
46,Jordan Adetunji,KEHLANI,300 Entertainment,46,54,8,4485382,8/15/2024
47,Morgan Wallen,Thinkin’ Bout Me,Big Loud Records / Mercury Records / Republic Records,9,48,76,4484778,8/15/2024
48,"Drake, Young Thug, 21 Savage",It's Up (feat. Young Thug & 21 Savage),OVO/Republic,48,-1,1,4412656,8/15/2024
49,Myles Smith,Stargazing,RCA Records Label,24,40,14,4252457,8/15/2024
50,The Neighbourhood,Sweater Weather,Columbia,13,55,208,4132712,8/15/2024
51,"Megan Thee Stallion, Yuki Chiba",Mamushi (feat. Yuki Chiba),Hot Girl Productions,29,41,7,4122254,8/15/2024
52,Taylor Swift,Cruel Summer,Taylor Swift,2,50,92,4120945,8/15/2024
53,Morgan Wallen,You Proof,Big Loud Records / Mercury Records / Republic Records,8,57,118,4112829,8/15/2024
54,"¥$, Kanye West, Ty Dolla $ign",FIELD TRIP,YZY,30,30,2,4040493,8/15/2024
55,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,1,51,17,3992692,8/15/2024
56,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,3,58,17,3977735,8/15/2024
57,Djo,End of Beginning,Djo,3,52,26,3943061,8/15/2024
58,Luke Combs,She Got the Best of Me,River House Artists/Columbia Nashville,58,68,37,3934221,8/15/2024
59,Chappell Roan,My Kink Is Karma,Chappell Roan PS/ Island,59,69,10,3927805,8/15/2024
60,Luke Combs,When It Rains It Pours,River House Artists/Columbia Nashville,60,62,120,3921010,8/15/2024
61,Ariana Grande,we can't be friends (wait for your love),Republic Records,2,63,23,3829523,8/15/2024
62,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,7,61,13,3802239,8/15/2024
63,Eminem,Houdini,Shady/Aftermath/Interscope Records,5,49,11,3789717,8/15/2024
64,Zach Bryan,Oklahoma Smokeshow,Warner Records,64,72,57,3765982,8/15/2024
65,Dominic Fike,misses,Columbia,52,82,10,3722571,8/15/2024
66,Tucker Wetmore,Wind Up Missin’ You,Tucker Wetmore,48,71,20,3720195,8/15/2024
67,SZA,Saturn,Top Dawg Entertainment/RCA Records,5,65,25,3713886,8/15/2024
68,Frank Ocean,Pink + White,Boys Don't Cry,30,67,105,3712052,8/15/2024
69,Daryl Hall & John Oates,Rich Girl,RCA Records Label,57,74,25,3709587,8/15/2024
70,Gunna,one of wun,300 Entertainment,23,53,14,3702001,8/15/2024
71,Gunna,fukumean,300 Entertainment,1,66,57,3690087,8/15/2024
72,Tommy Richman,DEVIL IS A LIE,PULSE Records,14,56,9,3624792,8/15/2024
73,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,6,86,187,3498832,8/15/2024
74,"Diplo, Morgan Wallen",Heartless (feat. Morgan Wallen),Columbia,57,81,97,3476013,8/15/2024
75,The Killers,Mr. Brightside,Island Records,50,78,207,3451678,8/15/2024
76,BigXthaPlug,Mmhmm,BigXthaPlug under exclusive license to UnitedMasters LLC,38,95,35,3445853,8/15/2024
77,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,13,59,23,3426050,8/15/2024
78,Miguel,Sure Thing,Jive,10,92,91,3421674,8/15/2024
79,Van Morrison,Brown Eyed Girl,Columbia/Legacy,68,84,27,3417652,8/15/2024
80,Luke Combs,Beautiful Crazy,River House Artists/Columbia Nashville,61,96,198,3417248,8/15/2024
