rank,artist,track,label,sp_peak,sp_last_week,sp_woc,streams,date
114,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),XO / Republic Records,16,109,24,3129750,12/28/2023
115,Teddy Swims,Lose Control,Warner Records,108,108,7,3116659,12/28/2023
116,d4vd,Romantic Homicide,Darkroom/Interscope Records,3,106,73,3109413,12/28/2023
117,Morgan Wallen,Wasted On You,Big Loud / Republic,3,104,153,3109305,12/28/2023
118,"KAROL G, Peso Pluma",QLONA,Bichota/Interscope Records,16,91,20,3107583,12/28/2023
119,Kanye West,Father Stretch My Hands Pt. 1,Rock The World/IDJ/Kanye LP7,71,94,96,3101547,12/28/2023
120,"Thurl Ravenscroft, Boris Karloff","You're A Mean One, Mr. Grinch",WaterTower Music,91,189,13,3099833,12/28/2023
121,Frank Sinatra,Santa Claus Is Comin' to Town,Columbia/Legacy,121,183,3,3097245,12/28/2023
122,Dean Martin,Silver Bells,Legacy Recordings,64,168,15,3070002,12/28/2023
123,Hotel Ugly,Shut up My Moms Calling,"Hotel Ugly, under exclusive license to Amuseio AB",29,102,69,3067487,12/28/2023
124,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,2,111,22,3052803,12/28/2023
125,"Idina Menzel, Michael Bublé",Baby It's Cold Outside (with Michael Bublé),Warner Records,111,155,7,3052510,12/28/2023
126,"Ed Sheeran, Elton John",Merry Christmas,Atlantic Records UK,106,175,4,3052500,12/28/2023
127,Morgan Wallen,You Proof,Big Loud Records / Mercury Records / Republic Records,8,114,85,3043839,12/28/2023
128,Ella Fitzgerald,Sleigh Ride,Verve Reissues,100,169,10,3038709,12/28/2023
129,"Kanye West, Pusha T",Runaway,Roc-A-Fella,75,100,7,2960763,12/28/2023
130,"Louis Armstrong, The Commanders",Cool Yule,Verve,115,-1,8,2957000,12/28/2023
131,Steve Lacy,Dark Red,Three Quarter,16,115,125,2945354,12/28/2023
132,"Zach Bryan, The War And Treaty",Hey Driver (feat. The War and Treaty),Warner Records,3,123,18,2938898,12/28/2023
133,Darlene Love,Winter Wonderland,Legacy Recordings,133,-1,4,2918122,12/28/2023
134,Tory Lanez,The Color Violet,One Umbrella Records,26,110,69,2899414,12/28/2023
135,Trans-Siberian Orchestra,Christmas Eve / Sarajevo 12/24 - Instrumental,Lava/Atlantic,135,164,2,2898701,12/28/2023
136,Taylor Swift,You’re Losing Me (From The Vault),Taylor Swift,7,80,5,2894253,12/28/2023
137,Sabrina Carpenter,Feather,Island Records,112,112,5,2858643,12/28/2023
138,David Kushner,Daylight,Miserable Music Group,11,127,37,2852755,12/28/2023
139,The Weeknd,Die For You,Universal Republic Records,8,129,146,2849308,12/28/2023
140,Pentatonix,"Mary, Did You Know?",RCA Records Label,135,170,10,2838003,12/28/2023
141,Luke Combs,Fast Car,River House Artists/Columbia Nashville,4,135,40,2824378,12/28/2023
142,Ella Fitzgerald,Frosty The Snowman,Verve Reissues,142,-1,4,2820797,12/28/2023
143,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,62,134,68,2820593,12/28/2023
144,PARTYNEXTDOOR,Break from Toronto,OVO Sound,72,122,43,2806924,12/28/2023
145,Miguel,Sure Thing,Jive,10,118,64,2805409,12/28/2023
146,"Kanye West, Dwele",Flashing Lights,Roc-A-Fella,53,120,102,2801700,12/28/2023
147,Sia,Santa's Coming for Us,Monkey Puzzle/Atlantic,146,179,4,2799522,12/28/2023
148,"Bad Bunny, Feid",PERRO NEGRO,Rimas Entertainment LLC,10,128,11,2780393,12/28/2023
