date,rank,track,artist,sales_last_week,sales_peak,sales_woc
2/10/2024,2,Facts,Tom MacDonald X Ben Shapiro,-,2,1
2/10/2024,3,Big Foot,Nicki Minaj,-,3,1
2/10/2024,4,Selfish,Justin Timberlake,5,4,2
2/10/2024,5,Selfish,Britney Spears,-,5,1
2/10/2024,6,Lovin On Me,Jack Harlow,3,1,12
2/10/2024,7,Beautiful Things,Benson Boone,2,2,2
2/10/2024,8,Dance You Outta My Head,Cat Janice,11,8,2
2/10/2024,9,Everybody,Nicki Minaj Featuring Lil Uzi Vert,-,7,2
2/10/2024,10,Spin You Around (1/24),Morgan Wallen,-,10,1
2/10/2024,11,Turn The Lights Back On,Billy Joel,-,11,1
2/10/2024,12,Lose Control,Teddy Swims,1,1,29
2/10/2024,13,Standing Next To You,Jung Kook,4,1,13
2/10/2024,14,Made For Me,Muni Long,8,8,2
2/10/2024,15,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,7,4,23
2/10/2024,16,Lil Boo Thang,Paul Russell,10,2,24
2/10/2024,17,Murder On The Dancefloor,Sophie Ellis-Bextor,9,7,5
2/10/2024,18,White Horse,Chris Stapleton,13,5,27
2/10/2024,19,Where The Wild Things Are,Luke Combs,15,13,6
2/10/2024,20,Think U The Shit (Fart),Ice Spice,-,20,1
2/10/2024,21,We Are The World,USA For Africa,-,21,3
2/10/2024,22,Save Me,Jelly Roll With Lainey Wilson,17,6,38
2/10/2024,23,Houdini,Dua Lipa,19,3,9
2/10/2024,24,Cruel Summer,Taylor Swift,24,1,31
2/10/2024,25,Stick Season,Noah Kahan,-,24,2
2/17/2024,1,Fast Car,Tracy Chapman,-,1,9
2/17/2024,2,Don't Let The Old Man In,Toby Keith,-,2,4
2/17/2024,3,Flowers,Miley Cyrus,-,1,42
2/17/2024,4,Fast Car,Luke Combs,-,1,36
2/17/2024,5,Turn The Lights Back On,Billy Joel,11,5,2
2/17/2024,6,Facts,Tom MacDonald X Ben Shapiro,2,2,2
2/17/2024,7,Should've Been A Cowboy,Toby Keith,-,7,1
2/17/2024,8,"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,-,8,6
2/17/2024,9,Beautiful Things,Benson Boone,7,2,3
2/17/2024,10,Both Sides Now,Joni Mitchell,-,10,2
2/17/2024,11,What Was I Made For?,Billie Eilish,-,4,20
2/17/2024,12,How Do You Like Me Now?!,Toby Keith,-,12,1
2/17/2024,13,As Good As I Once Was,Toby Keith,-,13,17
2/17/2024,14,Hiss,Megan Thee Stallion,1,1,2
2/17/2024,15,Give Me One Reason,Tracy Chapman,-,15,1
2/17/2024,16,Standing Next To You,Jung Kook,13,1,14
2/17/2024,17,Lose Control,Teddy Swims,12,1,30
2/17/2024,18,Beer For My Horses,Toby Keith Duet With Willie Nelson,-,18,1
2/17/2024,19,I Love This Bar,Toby Keith,-,19,1
2/17/2024,20,Lovin On Me,Jack Harlow,6,1,13
2/17/2024,21,Selfish,Justin Timberlake,4,4,3
2/17/2024,22,Dance You Outta My Head,Cat Janice,8,8,3
2/17/2024,23,American Soldier,Toby Keith,-,23,2
2/17/2024,24,I Got You,TWICE,-,24,1
2/17/2024,25,Red Solo Cup,Toby Keith,-,8,27
2/24/2024,1,Texas Hold 'Em,Beyonce,-,1,1
2/24/2024,2,16 Carriages,Beyonce,-,2,1
2/24/2024,3,Don't Let The Old Man In,Toby Keith,2,2,5
2/24/2024,4,Yeah!,Usher Featuring Lil Jon & Ludacris,-,4,75
2/24/2024,5,Fast Car,Tracy Chapman,1,1,10
2/24/2024,6,Standing Next To You,Jung Kook,16,1,15
2/24/2024,7,Flowers,Miley Cyrus,3,1,43
2/24/2024,8,Beautiful Things,Benson Boone,9,2,4
2/24/2024,9,Fast Car,Luke Combs,4,1,37
2/24/2024,10,Ruin,Usher & Pheelz,-,10,1
2/24/2024,11,Lovin On Me,Jack Harlow,20,1,14
2/24/2024,12,Should've Been A Cowboy,Toby Keith,7,7,2
