rank,artist,track,am_last_week,am_peak,am_woc,date
60,Gunna,fukumean,83,1,37,2/19/2024
61,Drake,Knife Talk (feat. 21 Savage & Project Pat),-,2,84,2/19/2024
62,Travis Scott,FE!N,84,2,15,2/19/2024
63,Drake,Wants and Needs (feat. Lil Baby),-,1,113,2/19/2024
64,Chris Brown,Under the Influence,75,1,68,2/19/2024
65,Xavi,La Víctima,60,30,10,2/19/2024
66,YoungBoy Never Broke Again,Kacey Talk,-,8,56,2/19/2024
67,Jhené Aiko,Sativa (feat. Swae Lee),94,56,9,2/19/2024
68,SZA,Saturn,-,2,1,2/19/2024
69,Megan Thee Stallion,HISS,42,1,5,2/19/2024
70,Drake,Nice For What,-,67,7,2/19/2024
71,21 Savage,sneaky,100,8,7,2/19/2024
72,Luke Combs,Beautiful Crazy,-,50,22,2/19/2024
73,Travis Scott,HIGHEST IN THE ROOM,-,1,29,2/19/2024
74,21 Savage,Bank Account,-,49,2,2/19/2024
75,Kanye West & Ty Dolla $ign,Vultures,39,39,2,2/19/2024
76,Lil Durk,Old Days,-,26,1,2/19/2024
77,Yeat,Breathe,71,68,2,2/19/2024
78,Future,PUFFIN ON ZOOTIEZ,-,2,69,2/19/2024
79,J. Cole,No Role Modelz,-,35,70,2/19/2024
80,Bryson Tiller,Don't,-,66,5,2/19/2024
81,Travis Scott,I KNOW ?,-,3,28,2/19/2024
82,"¥$, Kanye West & Ty Dolla $ign",Talking / Once Again (feat. North West),78,78,3,2/19/2024
83,Kanye West & Ty Dolla $ign,Do It,37,37,2,2/19/2024
84,Latto,Sunday Service,92,84,3,2/19/2024
85,Olivia Rodrigo,vampire,-,2,34,2/19/2024
86,Bailey Zimmerman,Holy Smokes,-,45,1,2/19/2024
87,Drake,Marvins Room,-,81,4,2/19/2024
88,Kanye West & Ty Dolla $ign,Stars,21,21,2,2/19/2024
89,Taylor Swift,Lover,81,57,11,2/19/2024
90,YTB Fatt,Secrets,-,79,1,2/19/2024
91,Drake,Virginia Beach,-,3,20,2/19/2024
92,Kali Uchis,Igual Que Un Ángel,-,6,6,2/19/2024
93,Morgan Wallen,Thought You Should Know,-,16,49,2/19/2024
94,Nicki Minaj,FTCU,99,2,12,2/19/2024
95,Future & Lil Uzi Vert,Drankin N Smokin,-,1,65,2/19/2024
96,Usher,Love In This Club (feat. Young Jeezy),31,31,2,2/19/2024
97,Tucker Wetmore,Wine Into Whiskey,-,81,1,2/19/2024
98,Zach Bryan,Something in the Orange,-,10,88,2/19/2024
99,YoungBoy Never Broke Again,Valuable Pain,-,57,7,2/19/2024
100,Summer Walker,Karma,-,31,51,2/19/2024
1,Kanye West & Ty Dolla $ign,Carnival,2,1,3,2/26/2024
2,SZA,Saturn,68,2,2,2/26/2024
3,Bryson Tiller,Whatever She Wants,3,2,3,2/26/2024
4,Beyoncé,TEXAS HOLD 'EM,1,1,3,2/26/2024
5,21 Savage,redrum,4,1,8,2/26/2024
6,SZA,Snooze,5,3,65,2/26/2024
7,Benson Boone,Beautiful Things,7,2,7,2/26/2024
8,Bossman Dlow,Get In With Me,6,4,5,2/26/2024
9,Lil Baby,Freestyle,11,6,85,2/26/2024
10,YG Marley,Praise Jah In the Moonlight,8,8,6,2/26/2024
11,Muni Long,Made For Me,9,3,7,2/26/2024
12,Jack Harlow,Lovin On Me,10,1,17,2/26/2024
13,Morgan Wallen,Last Night,14,1,57,2/26/2024
14,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),13,1,28,2/26/2024
15,Noah Kahan,Stick Season,12,11,18,2/26/2024
16,Teddy Swims,Lose Control,17,15,9,2/26/2024
17,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),15,2,22,2/26/2024
18,Drake,Best I Ever Had,16,13,48,2/26/2024
19,Lil Baby,Sum 2 Prove,22,4,130,2/26/2024
20,Morgan Wallen,Thinkin’ Bout Me,19,2,53,2/26/2024
21,Morgan Wallen,Spin You Around (1/24),20,9,6,2/26/2024
22,Lil Baby,Low Down,24,6,77,2/26/2024
23,Luke Combs,Fast Car,21,5,50,2/26/2024
24,Fuerza Regida,TÚ NAME,23,20,3,2/26/2024
25,Xavi,La Diabla,18,8,11,2/26/2024
26,Lil Durk,Old Days,76,26,2,2/26/2024
27,Doja Cat,Agora Hills,25,13,23,2/26/2024
28,Drake,You Broke My Heart,45,1,16,2/26/2024
29,Future,WAIT FOR U (feat. Drake & Tems),30,1,97,2/26/2024
30,Taylor Swift,Cruel Summer,26,7,46,2/26/2024
31,Future,Mask Off,32,30,57,2/26/2024
32,Flo Milli,Never Lose Me,27,14,9,2/26/2024
33,Morgan Wallen,Chasin' You,39,20,105,2/26/2024
34,Lil Baby,Woah,33,1,70,2/26/2024
35,21 Savage & Summer Walker,prove it,29,5,8,2/26/2024
36,Future,Stick Talk,35,32,26,2/26/2024
37,Drake,Nonstop,38,37,27,2/26/2024
38,J. Cole,Power Trip (feat. Miguel),40,38,50,2/26/2024
39,Future,Low Life (feat. The Weeknd),37,25,30,2/26/2024
40,GloRilla,Yeah Glo!,41,5,3,2/26/2024
41,Future,March Madness,42,28,25,2/26/2024
42,21 Savage & Brent Faiyaz,should've wore a bonnet,34,7,8,2/26/2024
43,SZA,Good Days,44,1,75,2/26/2024
44,SZA,Kill Bill,46,1,65,2/26/2024
45,Bailey Zimmerman,Holy Smokes,86,45,2,2/26/2024
46,Morgan Wallen,You Proof,51,6,94,2/26/2024
47,Kodak Black,No Flockin,53,47,25,2/26/2024
48,Drake,Passionfruit,50,48,15,2/26/2024
49,YoungBoy Never Broke Again,Kacey Talk,66,8,57,2/26/2024
50,Morgan Wallen,Wasted on You,56,3,116,2/26/2024
51,Future,Life Is Good (feat. Drake),52,2,82,2/26/2024
52,Drake,Wants and Needs (feat. Lil Baby),63,1,114,2/26/2024
53,Drake,First Person Shooter (feat. J. Cole),47,2,22,2/26/2024
54,Olivia Rodrigo,vampire,85,2,35,2/26/2024
55,Travis Scott,FE!N,62,2,16,2/26/2024
56,Jhené Aiko,Sativa (feat. Swae Lee),67,56,10,2/26/2024
57,Chris Brown,No Guidance (feat. Drake),48,5,82,2/26/2024
58,Chris Stapleton,Tennessee Whiskey,58,51,28,2/26/2024
59,Drake,God's Plan,49,49,14,2/26/2024
60,21 Savage,Bank Account,74,49,3,2/26/2024
61,Gunna,fukumean,60,1,38,2/26/2024
62,Drake,Knife Talk (feat. 21 Savage & Project Pat),61,2,85,2/26/2024
63,Tate McRae,greedy,57,25,24,2/26/2024
64,Chris Brown,Under the Influence,64,1,69,2/26/2024
65,Travis Scott,HIGHEST IN THE ROOM,73,1,30,2/26/2024
66,Bryson Tiller,Don't,80,66,6,2/26/2024
67,"21 Savage, Travis Scott & Metro Boomin",née-nah,55,2,8,2/26/2024
68,Yeat,Breathe,77,68,3,2/26/2024
69,YoungBoy Never Broke Again,Valuable Pain,99,57,8,2/26/2024
70,Drake,Nice For What,70,67,8,2/26/2024
71,SZA,Nobody Gets Me,-,3,26,2/26/2024
72,Luke Combs,Beautiful Crazy,72,50,23,2/26/2024
73,Future,PUFFIN ON ZOOTIEZ,78,2,70,2/26/2024
74,Future & Lil Uzi Vert,Drankin N Smokin,95,1,66,2/26/2024
75,Summer Walker,Karma,100,31,52,2/26/2024
76,Zach Bryan,Something in the Orange,98,10,89,2/26/2024
77,21 Savage,sneaky,71,8,8,2/26/2024
78,Djo,End of Beginning,-,17,1,2/26/2024
79,YTB Fatt,Secrets,90,79,2,2/26/2024
80,Morgan Wallen,Thought You Should Know,93,16,50,2/26/2024
81,Tucker Wetmore,Wine Into Whiskey,97,81,2,2/26/2024
82,Bossman Dlow,Mr Pot Scraper,-,32,1,2/26/2024
83,J. Cole,No Role Modelz,79,35,71,2/26/2024
84,Usher,Yeah! (feat. Lil Jon & Ludacris),43,12,5,2/26/2024
85,Cardi B,Like What (Freestyle),-,42,1,2/26/2024
86,Beyoncé,16 CARRIAGES,28,7,3,2/26/2024
87,Drake,Marvins Room,87,81,5,2/26/2024
88,Travis Scott,I KNOW ?,81,3,29,2/26/2024
89,Xavi,La Víctima,65,30,11,2/26/2024
90,Drake,In My Feelings,-,90,1,2/26/2024
91,YoungBoy Never Broke Again,Slime Belief,-,91,1,2/26/2024
92,Frank Ocean,Thinkin Bout You,-,92,1,2/26/2024
93,Lil Durk,All My Life (feat. J. Cole),-,1,36,2/26/2024
94,Latto,Sunday Service,84,84,4,2/26/2024
95,ScHoolboy Q,THank god 4 me,-,95,1,2/26/2024
96,Meek Mill,Giving Chanel (feat. Future),-,96,1,2/26/2024
97,Lil Wayne,Love Me (feat. Drake & Future),-,92,3,2/26/2024
98,Taylor Swift,Lover,89,57,12,2/26/2024
99,Zach Bryan,Oklahoma Smokeshow,-,38,12,2/26/2024
100,Drake,Virginia Beach,91,3,21,2/26/2024
1,Kanye West & Ty Dolla $ign,Carnival,1,1,4,3/4/2024
2,Bryson Tiller,Whatever She Wants,3,2,4,3/4/2024
3,21 Savage,redrum,5,1,9,3/4/2024
4,Benson Boone,Beautiful Things,7,2,8,3/4/2024
5,SZA,Snooze,6,3,66,3/4/2024
6,SZA,Saturn,2,2,3,3/4/2024
7,Bossman Dlow,Get In With Me,8,4,6,3/4/2024
8,Beyoncé,TEXAS HOLD 'EM,4,1,4,3/4/2024
9,Lil Baby,Freestyle,9,6,86,3/4/2024
10,GloRilla,Yeah Glo!,40,5,4,3/4/2024
11,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),14,1,29,3/4/2024
12,Morgan Wallen,Last Night,13,1,58,3/4/2024
13,YG Marley,Praise Jah In the Moonlight,10,8,7,3/4/2024
14,Jack Harlow,Lovin On Me,12,1,18,3/4/2024
15,Muni Long,Made For Me,11,3,8,3/4/2024
16,Teddy Swims,Lose Control,16,15,10,3/4/2024
17,Noah Kahan,Stick Season,15,11,19,3/4/2024
18,Drake,Best I Ever Had,18,13,49,3/4/2024
19,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),17,2,23,3/4/2024
20,Fuerza Regida,TÚ NAME,24,20,4,3/4/2024
21,Morgan Wallen,Spin You Around (1/24),21,9,7,3/4/2024
22,Lil Baby,Sum 2 Prove,19,4,131,3/4/2024
23,Morgan Wallen,Thinkin’ Bout Me,20,2,54,3/4/2024
24,Lil Baby,Low Down,22,6,78,3/4/2024
25,Luke Combs,Fast Car,23,5,51,3/4/2024
26,Future,WAIT FOR U (feat. Drake & Tems),29,1,98,3/4/2024
27,Morgan Wallen,Chasin' You,33,20,106,3/4/2024
28,Future,March Madness,41,28,26,3/4/2024
29,Doja Cat,Agora Hills,27,13,24,3/4/2024
30,Drake,You Broke My Heart,28,1,17,3/4/2024
31,Future,Mask Off,31,30,58,3/4/2024
32,Xavi,La Diabla,25,8,12,3/4/2024
33,Lil Baby,Woah,34,1,71,3/4/2024
34,Taylor Swift,Cruel Summer,30,7,47,3/4/2024
35,Future,Stick Talk,36,32,27,3/4/2024
36,Flo Milli,Never Lose Me,32,14,10,3/4/2024
37,Future,Low Life (feat. The Weeknd),39,25,31,3/4/2024
38,SZA,Good Days,43,1,76,3/4/2024
39,Drake,Nonstop,37,37,28,3/4/2024
40,J. Cole,Power Trip (feat. Miguel),38,38,51,3/4/2024
41,21 Savage & Summer Walker,prove it,35,5,9,3/4/2024
42,Cardi B,Like What (Freestyle),85,42,2,3/4/2024
43,YoungBoy Never Broke Again,Kacey Talk,49,8,58,3/4/2024
44,Morgan Wallen,You Proof,46,6,95,3/4/2024
45,Travis Scott,FE!N,55,2,17,3/4/2024
46,Morgan Wallen,Wasted on You,50,3,117,3/4/2024
47,21 Savage & Brent Faiyaz,should've wore a bonnet,42,7,9,3/4/2024
48,Djo,End of Beginning,78,17,2,3/4/2024
49,Ariana Grande,eternal sunshine,-,12,1,3/4/2024
50,Future,Life Is Good (feat. Drake),51,2,83,3/4/2024
51,SZA,Kill Bill,44,1,66,3/4/2024
52,Ariana Grande,we can't be friends (wait for your love),-,2,1,3/4/2024
53,21 Savage,Bank Account,60,49,4,3/4/2024
54,Ariana Grande,bye,-,16,1,3/4/2024
55,Ariana Grande,the boy is mine,-,9,1,3/4/2024
56,Drake,Passionfruit,48,48,16,3/4/2024
57,Chris Stapleton,Tennessee Whiskey,58,51,29,3/4/2024
58,Bossman Dlow,Mr Pot Scraper,82,32,2,3/4/2024
59,Kodak Black,No Flockin,47,47,26,3/4/2024
60,Drake,Wants and Needs (feat. Lil Baby),52,1,115,3/4/2024
61,Chris Brown,No Guidance (feat. Drake),57,5,83,3/4/2024
62,Luke Combs,Where the Wild Things Are,-,45,1,3/4/2024
63,Jhené Aiko,Sativa (feat. Swae Lee),56,56,11,3/4/2024
64,Drake,God's Plan,59,49,15,3/4/2024
65,Ariana Grande,don't wanna break up again,-,21,1,3/4/2024
66,Zach Bryan,Something in the Orange,76,10,90,3/4/2024
67,Olivia Rodrigo,vampire,54,2,36,3/4/2024
68,Tate McRae,greedy,63,25,25,3/4/2024
69,YoungBoy Never Broke Again,Valuable Pain,69,57,9,3/4/2024
70,SZA,Nobody Gets Me,71,3,27,3/4/2024
71,Ariana Grande,supernatural,-,25,1,3/4/2024
72,Ariana Grande,intro (end of the world),-,62,1,3/4/2024
73,Drake,Knife Talk (feat. 21 Savage & Project Pat),62,2,86,3/4/2024
74,Chris Brown,Under the Influence,64,1,70,3/4/2024
75,Morgan Wallen,Thought You Should Know,80,16,51,3/4/2024
76,Ariana Grande,true story,-,33,1,3/4/2024
77,Drake,First Person Shooter (feat. J. Cole),53,2,23,3/4/2024
78,4batz & Drake,act ii: date @ 8 (remix),-,6,1,3/4/2024
79,Gunna,fukumean,61,1,39,3/4/2024
80,Ariana Grande,"yes, and?",-,15,5,3/4/2024
81,Travis Scott,HIGHEST IN THE ROOM,65,1,31,3/4/2024
82,Future & Lil Uzi Vert,Drankin N Smokin,74,1,67,3/4/2024
83,Future,PUFFIN ON ZOOTIEZ,73,2,71,3/4/2024
84,Luke Combs,Beautiful Crazy,72,50,24,3/4/2024
85,Summer Walker,Karma,75,31,53,3/4/2024
86,Zach Bryan,Oklahoma Smokeshow,99,38,13,3/4/2024
87,Drake,Nice For What,70,67,9,3/4/2024
88,Ariana Grande,i wish i hated you,-,44,1,3/4/2024
89,Ariana Grande,Saturn Returns Interlude,-,86,1,3/4/2024
90,Ariana Grande,imperfect for you,-,47,1,3/4/2024
91,Bryson Tiller,Don't,66,66,7,3/4/2024
92,Ariana Grande,ordinary things (feat. Nonna),-,87,1,3/4/2024
93,J. Cole,No Role Modelz,83,35,72,3/4/2024
94,YTB Fatt,Secrets,79,79,3,3/4/2024
95,Yeat,Breathe,68,68,4,3/4/2024
96,4batz,act ii: date @ 8,-,27,6,3/4/2024
97,Lil Durk,Old Days,26,26,3,3/4/2024
98,Usher,Yeah! (feat. Lil Jon & Ludacris),84,12,6,3/4/2024
99,YoungBoy Never Broke Again,Slime Belief,91,91,2,3/4/2024
100,Lil Durk,All My Life (feat. J. Cole),93,1,37,3/4/2024
1,Kanye West & Ty Dolla $ign,Carnival,1,1,5,3/11/2024
2,Ariana Grande,we can't be friends (wait for your love),52,2,2,3/11/2024
3,Bryson Tiller,Whatever She Wants,2,2,5,3/11/2024
4,Benson Boone,Beautiful Things,4,2,9,3/11/2024
5,GloRilla,Yeah Glo!,10,5,5,3/11/2024
6,4batz & Drake,act ii: date @ 8 (remix),78,6,2,3/11/2024
7,SZA,Snooze,5,3,67,3/11/2024
8,21 Savage,redrum,3,1,10,3/11/2024
9,Ariana Grande,the boy is mine,55,9,2,3/11/2024
10,Bossman Dlow,Get In With Me,7,4,7,3/11/2024
11,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),11,1,30,3/11/2024
12,Ariana Grande,eternal sunshine,49,12,2,3/11/2024
13,Morgan Wallen,Last Night,12,1,59,3/11/2024
14,Lil Baby,Freestyle,9,6,87,3/11/2024
15,SZA,Saturn,6,2,4,3/11/2024
16,Ariana Grande,bye,54,16,2,3/11/2024
17,Jack Harlow,Lovin On Me,14,1,19,3/11/2024
18,Teddy Swims,Lose Control,16,15,11,3/11/2024
19,Beyoncé,TEXAS HOLD 'EM,8,1,5,3/11/2024
20,Muni Long,Made For Me,15,3,9,3/11/2024
21,Ariana Grande,don't wanna break up again,65,21,2,3/11/2024
22,Drake,Best I Ever Had,18,13,50,3/11/2024
23,Djo,End of Beginning,48,17,3,3/11/2024
24,Noah Kahan,Stick Season,17,11,20,3/11/2024
25,Ariana Grande,supernatural,71,25,2,3/11/2024
26,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),19,2,24,3/11/2024
27,Ariana Grande,"yes, and?",80,15,6,3/11/2024
28,Morgan Wallen,Thinkin’ Bout Me,23,2,55,3/11/2024
29,YG Marley,Praise Jah In the Moonlight,13,8,8,3/11/2024
30,Morgan Wallen,Spin You Around (1/24),21,9,8,3/11/2024
31,Fuerza Regida,TÚ NAME,20,20,5,3/11/2024
32,Lil Baby,Sum 2 Prove,22,4,132,3/11/2024
33,Ariana Grande,true story,76,33,2,3/11/2024
34,Lil Baby,Low Down,24,6,79,3/11/2024
35,Luke Combs,Fast Car,25,5,52,3/11/2024
36,Morgan Wallen,Chasin' You,27,20,107,3/11/2024
37,Future,WAIT FOR U (feat. Drake & Tems),26,1,99,3/11/2024
38,Taylor Swift,Cruel Summer,34,7,48,3/11/2024
39,Future,Mask Off,31,30,59,3/11/2024
40,Doja Cat,Agora Hills,29,13,25,3/11/2024
41,Lil Baby,Woah,33,1,72,3/11/2024
42,Future,March Madness,28,28,27,3/11/2024
43,Future,Stick Talk,35,32,28,3/11/2024
44,Ariana Grande,i wish i hated you,88,44,2,3/11/2024
45,Sexyy Red,Get It Sexyy,-,1,1,3/11/2024
46,Bossman Dlow,Mr Pot Scraper,58,32,3,3/11/2024
47,Ariana Grande,imperfect for you,90,47,2,3/11/2024
48,Flo Milli,Never Lose Me,36,14,11,3/11/2024
49,Drake,You Broke My Heart,30,1,18,3/11/2024
50,SZA,Good Days,38,1,77,3/11/2024
51,Travis Scott,FE!N,45,2,18,3/11/2024
52,Drake,Nonstop,39,37,29,3/11/2024
53,J. Cole,Power Trip (feat. Miguel),40,38,52,3/11/2024
54,Future,Low Life (feat. The Weeknd),37,25,32,3/11/2024
55,Xavi,La Diabla,32,8,13,3/11/2024
56,Morgan Wallen,Wasted on You,46,3,118,3/11/2024
57,Morgan Wallen,You Proof,44,6,96,3/11/2024
58,21 Savage,Bank Account,53,49,5,3/11/2024
59,YoungBoy Never Broke Again,Kacey Talk,43,8,59,3/11/2024
60,Future,Life Is Good (feat. Drake),50,2,84,3/11/2024
61,Chris Stapleton,Tennessee Whiskey,57,51,30,3/11/2024
62,Ariana Grande,intro (end of the world),72,62,2,3/11/2024
63,Luke Combs,Where the Wild Things Are,62,45,2,3/11/2024
64,SZA,Nobody Gets Me,70,3,28,3/11/2024
65,21 Savage & Summer Walker,prove it,41,5,10,3/11/2024
66,Zach Bryan,Something in the Orange,66,10,91,3/11/2024
67,Zach Bryan,Oklahoma Smokeshow,86,38,14,3/11/2024
68,SZA,Kill Bill,51,1,67,3/11/2024
69,Drake,Passionfruit,56,48,17,3/11/2024
70,Kodak Black,No Flockin,59,47,27,3/11/2024
71,Morgan Wallen,Thought You Should Know,75,16,52,3/11/2024
72,Tate McRae,greedy,68,25,26,3/11/2024
73,Chris Brown,No Guidance (feat. Drake),61,5,84,3/11/2024
74,Drake,God's Plan,64,49,16,3/11/2024
75,Luke Combs,Beautiful Crazy,84,50,25,3/11/2024
76,Future & Lil Uzi Vert,Drankin N Smokin,82,1,68,3/11/2024
77,YoungBoy Never Broke Again,Valuable Pain,69,57,10,3/11/2024
78,Jhené Aiko,Sativa (feat. Swae Lee),63,56,12,3/11/2024
79,Zach Bryan,"Burn, Burn, Burn",-,43,14,3/11/2024
80,Drake,Wants and Needs (feat. Lil Baby),60,1,116,3/11/2024
81,Chris Brown,Under the Influence,74,1,71,3/11/2024
82,Cardi B,Enough (Miami),-,14,1,3/11/2024
83,Gunna,fukumean,79,1,40,3/11/2024
84,Drake,First Person Shooter (feat. J. Cole),77,2,24,3/11/2024
85,Future,PUFFIN ON ZOOTIEZ,83,2,72,3/11/2024
86,Ariana Grande,Saturn Returns Interlude,89,86,2,3/11/2024
87,Ariana Grande,ordinary things (feat. Nonna),92,87,2,3/11/2024
88,21 Savage & Brent Faiyaz,should've wore a bonnet,47,7,10,3/11/2024
89,Drake,Knife Talk (feat. 21 Savage & Project Pat),73,2,87,3/11/2024
90,Gunna,Prada Dem (feat. Offset),-,19,1,3/11/2024
91,Cardi B,Like What (Freestyle),42,42,3,3/11/2024
92,Travis Scott,HIGHEST IN THE ROOM,81,1,32,3/11/2024
93,Olivia Rodrigo,vampire,67,2,37,3/11/2024
94,Bryson Tiller,Don't,91,66,8,3/11/2024
95,BigXthaPlug,Mmhmm,-,47,4,3/11/2024
96,Summer Walker,Karma,85,31,54,3/11/2024
97,Flo Milli,Never Lose Me (feat. SZA & Cardi B),-,67,1,3/11/2024
98,Don Toliver,Bandit,-,22,3,3/11/2024
99,Zach Bryan,Tourniquet,-,7,10,3/11/2024
100,Drake,Nice For What,87,67,10,3/11/2024
1,Sexyy Red,Get It Sexyy,45,1,2,3/18/2024
2,Kanye West & Ty Dolla $ign,Carnival,1,1,6,3/18/2024
3,Ariana Grande,we can't be friends (wait for your love),2,2,3,3/18/2024
4,Bryson Tiller,Whatever She Wants,3,2,6,3/18/2024
5,Benson Boone,Beautiful Things,4,2,10,3/18/2024
6,GloRilla,Yeah Glo!,5,5,6,3/18/2024
7,SZA,Snooze,7,3,68,3/18/2024
8,Bossman Dlow,Get In With Me,10,4,8,3/18/2024
9,4batz & Drake,act ii: date @ 8 (remix),6,6,3,3/18/2024
10,21 Savage,redrum,8,1,11,3/18/2024
11,Morgan Wallen,Last Night,13,1,60,3/18/2024
12,Lil Baby,Freestyle,14,6,88,3/18/2024
13,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),11,1,31,3/18/2024
14,Cardi B,Enough (Miami),82,14,2,3/18/2024
15,Future & Metro Boomin,Like That,-,1,1,3/18/2024
16,SZA,Saturn,15,2,5,3/18/2024
17,Djo,End of Beginning,23,17,4,3/18/2024
18,Teddy Swims,Lose Control,18,15,12,3/18/2024
19,Drake,Best I Ever Had,22,13,51,3/18/2024
20,Jack Harlow,Lovin On Me,17,1,20,3/18/2024
21,Ariana Grande,the boy is mine,9,9,3,3/18/2024
22,Noah Kahan,Stick Season,24,11,21,3/18/2024
23,Beyoncé,TEXAS HOLD 'EM,19,1,6,3/18/2024
24,Morgan Wallen,Thinkin’ Bout Me,28,2,56,3/18/2024
25,Gunna,Prada Dem (feat. Offset),90,19,2,3/18/2024
26,Fuerza Regida,TÚ NAME,31,20,6,3/18/2024
27,Muni Long,Made For Me,20,3,10,3/18/2024
28,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),26,2,25,3/18/2024
29,Lil Baby,Sum 2 Prove,32,4,133,3/18/2024
30,Morgan Wallen,Spin You Around (1/24),30,9,9,3/18/2024
31,Lil Baby,Low Down,34,6,80,3/18/2024
32,Bossman Dlow,Mr Pot Scraper,46,32,4,3/18/2024
33,Morgan Wallen,Chasin' You,36,20,108,3/18/2024
34,YG Marley,Praise Jah In the Moonlight,29,8,9,3/18/2024
35,Ariana Grande,eternal sunshine,12,12,3,3/18/2024
36,Future,March Madness,42,28,28,3/18/2024
37,Luke Combs,Fast Car,35,5,53,3/18/2024
38,Taylor Swift,Cruel Summer,38,7,49,3/18/2024
39,Future,WAIT FOR U (feat. Drake & Tems),37,1,100,3/18/2024
40,Future,Mask Off,39,30,60,3/18/2024
41,Travis Scott,FE!N,51,2,19,3/18/2024
42,Lil Baby,Woah,41,1,73,3/18/2024
43,Future & Metro Boomin,Type Shit,-,2,1,3/18/2024
44,Future & Metro Boomin,We Don't Trust You,-,5,1,3/18/2024
45,Future,Stick Talk,43,32,29,3/18/2024
46,J. Cole,Power Trip (feat. Miguel),53,38,53,3/18/2024
47,Doja Cat,Agora Hills,40,13,26,3/18/2024
48,Drake,Nonstop,52,37,30,3/18/2024
49,21 Savage,Bank Account,58,49,6,3/18/2024
50,Future & Metro Boomin,Young Metro,-,4,1,3/18/2024
51,Ariana Grande,bye,16,16,3,3/18/2024
52,Ariana Grande,"yes, and?",27,15,7,3/18/2024
53,Morgan Wallen,Wasted on You,56,3,119,3/18/2024
54,Xavi,La Diabla,55,8,14,3/18/2024
55,Future & Metro Boomin,Cinderella,-,3,1,3/18/2024
56,Future & Metro Boomin,Ice Attack,-,7,1,3/18/2024
57,SZA,Good Days,50,1,78,3/18/2024
58,Ariana Grande,don't wanna break up again,21,21,3,3/18/2024
59,Future & Metro Boomin,Slimed In,-,8,1,3/18/2024
60,Future & Metro Boomin,Claustrophobic,-,9,1,3/18/2024
61,Future & Metro Boomin,Magic Don Juan (Princess Diana),-,10,1,3/18/2024
62,Ariana Grande,supernatural,25,25,3,3/18/2024
63,Drake,You Broke My Heart,49,1,19,3/18/2024
64,Future & Metro Boomin,Runnin Outta Time,-,12,1,3/18/2024
65,Future,Low Life (feat. The Weeknd),54,25,33,3/18/2024
66,Future & Metro Boomin,Fried (She a Vibe),-,11,1,3/18/2024
67,Flo Milli,Never Lose Me (feat. SZA & Cardi B),97,67,2,3/18/2024
68,Future & Metro Boomin,Everyday Hustle,-,14,1,3/18/2024
69,Future,Life Is Good (feat. Drake),60,2,85,3/18/2024
70,Flo Milli,Never Lose Me,48,14,12,3/18/2024
71,YoungBoy Never Broke Again,Kacey Talk,59,8,60,3/18/2024
72,Drake,Passionfruit,69,48,18,3/18/2024
73,Morgan Wallen,You Proof,57,6,97,3/18/2024
74,Future & Metro Boomin,Ain't No Love,-,17,1,3/18/2024
75,Future,PUFFIN ON ZOOTIEZ,85,2,73,3/18/2024
76,Future & Metro Boomin,GTA,-,15,1,3/18/2024
77,Zach Bryan,Something in the Orange,66,10,92,3/18/2024
78,Future & Metro Boomin,WTFYM,-,21,1,3/18/2024
79,Future & Metro Boomin,Seen it All,-,22,1,3/18/2024
80,Future & Metro Boomin,Where My Twin @ (Bonus),-,26,1,3/18/2024
81,Ariana Grande,true story,33,33,3,3/18/2024
82,Don Toliver,Bandit,98,22,4,3/18/2024
83,SZA,Nobody Gets Me,64,3,29,3/18/2024
84,Hozier,Too Sweet,-,5,1,3/18/2024
85,Kodak Black,No Flockin,70,47,28,3/18/2024
86,Chris Stapleton,Tennessee Whiskey,61,51,31,3/18/2024
87,Olivia Rodrigo,obsessed,-,46,1,3/18/2024
88,Zach Bryan,Oklahoma Smokeshow,67,38,15,3/18/2024
89,Luke Combs,Where the Wild Things Are,63,45,3,3/18/2024
90,"Peso Pluma, Tito Double P & Joel De La P",LA PEOPLE II,-,57,1,3/18/2024
91,Drake,First Person Shooter (feat. J. Cole),84,2,25,3/18/2024
92,Morgan Wallen,Thought You Should Know,71,16,53,3/18/2024
93,Zach Bryan,"Burn, Burn, Burn",79,43,15,3/18/2024
94,Xavi,Corazón de Piedra,-,79,1,3/18/2024
95,Gunna,fukumean,83,1,41,3/18/2024
96,Drake,God's Plan,74,49,17,3/18/2024
97,Bryson Tiller,Don't,94,66,9,3/18/2024
98,Tate McRae,greedy,72,25,27,3/18/2024
99,Travis Scott,HIGHEST IN THE ROOM,92,1,33,3/18/2024
100,Jhené Aiko,Sativa (feat. Swae Lee),78,56,13,3/18/2024
1,Future & Metro Boomin,Like That,15,1,2,3/25/2024
2,Future & Metro Boomin,Type Shit,43,2,2,3/25/2024
3,Future & Metro Boomin,Cinderella,55,3,2,3/25/2024
4,Future & Metro Boomin,Young Metro,50,4,2,3/25/2024
5,Future & Metro Boomin,We Don't Trust You,44,5,2,3/25/2024
